gene,A166,MSGS168,IDEAL178,standalone197,C245,standalone246,C246_Adrb1,ULTIMATE261,v6_232,v7_252,v8_237,d301,v11_lean296,v11_superset316,own_best_subclass,own_pct,own_mean_log2,anchor_pct,n_subclasses_ge50,level_verdict
Il31ra,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Inpp4b,False,False,False,False,False,False,False,True,False,False,False,False,False,False,064 STR-PAL Chst9 Gaba,99.6,10.01,98.4,49.0,strong in its own population
Insyn2b,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Isl1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,077 CEA-BST Gal Avp Gaba,94.9,6.36,54.8,9.0,strong in its own population
Jun,False,False,True,False,False,False,False,False,True,True,True,False,True,True,133 PVH-SO-PVa Otp Glut,97.8,7.29,65.8,26.0,strong in its own population
Junb,True,True,True,True,True,True,True,True,True,True,True,True,True,True,334 Microglia NN,95.9,11.15,72.8,25.0,strong in its own population
Jund,False,False,False,False,False,False,False,False,True,True,True,False,True,True,026 NLOT Rho Glut,98.6,7.27,96.7,72.0,strong in its own population
Kdm7a,False,False,False,False,False,False,False,False,False,False,False,False,False,True,013 COAp Grxcr2 Glut,98.3,7.49,88.8,62.0,strong in its own population
Kitl,False,False,False,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,96.5,7.65,79.2,10.0,strong in its own population
Klf10,False,False,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,78.5,5.15,75.9,13.0,strong in its own population
Kremen1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Krt9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,113 MEA-COA-BMA Ccdc42 Glut,52.7,3.13,52.7,1.0,usable in its own population
L3mbtl4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Lamb3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,113 MEA-COA-BMA Ccdc42 Glut,66.7,4.03,66.7,1.0,usable in its own population
Lamp5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,050 Lamp5 Lhx6 Gaba,97.6,8.18,91.5,18.0,strong in its own population
Lhx6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,055 STR Lhx8 Gaba,100.0,7.72,88.7,14.0,strong in its own population
Lhx9,False,False,False,False,False,False,False,False,False,True,True,False,True,True,114 COAa-PAA-MEA Barhl2 Glut,79.1,5.19,69.2,4.0,strong in its own population
Lin7a,False,False,False,False,False,False,False,True,False,False,False,True,True,True,026 NLOT Rho Glut,99.7,7.81,92.3,54.0,strong in its own population
Lratd2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,022 L5 ET CTX Glut,47.3,2.79,47.3,0.0,high level in a minority of cells (sparse but real)
Lrrtm2,False,False,True,False,False,False,False,False,False,True,True,False,True,True,026 NLOT Rho Glut,97.9,6.71,91.2,56.0,strong in its own population
Luzp2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,326 OPC NN,99.9,10.93,95.5,46.0,strong in its own population
Lypd1,False,False,False,False,False,False,False,True,False,False,False,True,True,True,026 NLOT Rho Glut,100.0,10.2,99.2,30.0,strong in its own population
Lypd6b,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Mab21l1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Maf,False,False,True,True,True,True,True,False,True,True,True,True,True,True,050 Lamp5 Lhx6 Gaba,99.6,8.99,91.5,14.0,strong in its own population
Maml2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,326 OPC NN,99.2,9.82,68.3,26.0,strong in its own population
Maml3,False,False,False,True,True,True,True,True,True,False,False,True,True,True,026 NLOT Rho Glut,100.0,8.99,81.2,56.0,strong in its own population
Marcks,False,False,False,False,False,False,False,False,False,False,False,True,False,False,013 COAp Grxcr2 Glut,100.0,8.43,99.8,70.0,strong in its own population
Mas1,False,False,False,False,True,True,True,False,False,False,False,True,False,False,013 COAp Grxcr2 Glut,90.0,5.68,44.8,2.0,strong in its own population
Masp1,False,False,False,False,False,False,False,True,False,False,False,True,True,True,056 Sst Chodl Gaba,74.7,4.81,63.3,3.0,strong in its own population
Matn2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,95.1,6.39,68.4,8.0,strong in its own population
Mbnl2,False,False,False,True,True,True,True,True,True,False,False,True,True,True,013 COAp Grxcr2 Glut,100.0,9.17,99.8,73.0,strong in its own population
Mbp,True,True,True,True,True,True,True,True,True,True,True,True,True,True,327 Oligo NN,99.5,12.12,90.2,44.0,strong in its own population
Mc4r,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,62.6,3.36,38.5,1.0,usable in its own population
Mchr1,False,False,False,False,True,True,True,False,False,False,False,True,False,False,022 L5 ET CTX Glut,32.0,1.75,32.0,0.0,too low to map reliably
Mdga1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,120 MEA Otp Foxp2 Glut,82.0,5.71,82.0,10.0,strong in its own population
Meis1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,114 COAa-PAA-MEA Barhl2 Glut,80.1,6.38,32.9,8.0,strong in its own population
Meis2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,041 OB-in Frmd7 Gaba,100.0,11.84,99.0,36.0,strong in its own population
Mgp,False,False,False,False,True,True,True,False,False,False,False,True,False,False,332 SMC NN,81.8,7.19,15.8,2.0,strong in its own population
Minar1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,058 PAL-STR Gaba-Chol,65.6,3.4,56.9,5.0,usable in its own population
Mpped1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,029 L6b CTX Glut,99.6,9.01,99.6,36.0,strong in its own population
Mybpc1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,052 Pvalb Gaba,20.9,1.28,21.3,0.0,too low to map reliably
Myl4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,032 L5 NP CTX Glut,92.4,7.96,92.4,2.0,strong in its own population
Myo1b,False,False,False,False,False,False,False,True,False,False,False,True,True,True,331 Peri NN,96.3,9.61,65.4,21.0,strong in its own population
Nbl1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,331 Peri NN,88.5,8.13,58.2,9.0,strong in its own population
Nckap5,False,False,False,False,False,False,False,True,False,False,False,True,True,True,326 OPC NN,98.4,9.33,76.8,27.0,strong in its own population
Ndnf,True,True,True,True,True,True,True,True,True,True,True,True,True,True,036 HPF CR Glut,99.1,10.57,54.5,6.0,strong in its own population
Ndst3,False,False,False,False,False,False,False,True,False,False,False,True,True,True,022 L5 ET CTX Glut,99.0,8.53,99.0,44.0,strong in its own population
Necab1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,047 Sncg Gaba,99.0,9.47,94.2,37.0,strong in its own population
Neto1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,013 COAp Grxcr2 Glut,100.0,7.62,98.5,56.0,strong in its own population
Neurod2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,98.6,7.45,95.0,16.0,strong in its own population
Neurod6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,005 L5 IT CTX Glut,96.9,7.52,96.9,13.0,strong in its own population
Nfib,True,True,True,True,True,True,True,True,True,True,True,True,True,True,010 IT AON-TT-DP Glut,100.0,9.71,100.0,36.0,strong in its own population
Nlgn1,False,False,False,False,False,False,False,False,True,True,True,False,True,True,007 L2/3 IT CTX Glut,100.0,11.15,100.0,69.0,strong in its own population
Nos1,True,True,False,True,True,True,True,False,True,True,True,True,True,True,120 MEA Otp Foxp2 Glut,99.7,9.77,99.7,27.0,strong in its own population
Npas2,False,False,False,False,False,False,False,False,False,True,False,False,True,True,005 L5 IT CTX Glut,96.2,7.46,96.2,39.0,strong in its own population
Npas4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,45.0,2.6,34.2,0.0,high level in a minority of cells (sparse but real)
Npr3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,022 L5 ET CTX Glut,70.8,4.49,70.8,3.0,strong in its own population
Nptx2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,95.0,7.65,64.2,7.0,strong in its own population
Npy,True,True,True,True,True,True,True,True,True,True,True,True,True,True,056 Sst Chodl Gaba,92.0,9.76,88.0,6.0,strong in its own population
Npy1r,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,85.0,5.17,68.2,15.0,strong in its own population
Npy2r,True,True,True,True,True,True,True,True,True,True,True,True,True,True,012 MEA Slc17a7 Glut,75.7,5.07,75.7,6.0,strong in its own population
Nr1d1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,006 L4/5 IT CTX Glut,53.1,3.13,53.1,2.0,usable in its own population
Nr1d2,False,False,False,False,False,False,False,False,False,True,False,False,True,True,058 PAL-STR Gaba-Chol,88.1,5.2,82.9,57.0,strong in its own population
Nr2e1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,075 MEA-BST Lhx6 Nr2e1 Gaba,84.0,5.66,58.6,4.0,strong in its own population
Nr4a1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,006 L4/5 IT CTX Glut,86.0,6.33,86.0,17.0,strong in its own population
Nr4a2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,10.53,57.7,5.0,strong in its own population
Nr4a3,False,False,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,80.0,5.8,63.4,6.0,strong in its own population
Nrxn1,False,False,False,False,False,False,False,False,True,True,True,False,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,10.7,100.0,69.0,strong in its own population
Nrxn3,False,False,False,False,False,False,False,False,False,True,True,False,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,10.38,100.0,69.0,strong in its own population
Ntrk2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,100.0,9.68,99.9,67.0,strong in its own population
Ntrk3,False,False,False,False,False,False,False,False,False,True,True,False,True,True,013 COAp Grxcr2 Glut,100.0,9.73,99.9,64.0,strong in its own population
Nts,True,True,False,False,True,True,True,True,True,True,True,True,True,True,066 NDB-SI-ant Prdm12 Gaba,48.1,3.51,34.1,0.0,high level in a minority of cells (sparse but real)
Ntsr1,True,True,False,False,True,True,True,False,False,False,False,True,False,False,059 GPe-SI Sox6 Cyp26b1 Gaba,71.5,4.27,35.0,4.0,strong in its own population
Ntsr2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,318 Astro-NT NN,99.1,9.45,8.5,2.0,strong in its own population
Nuak1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,006 L4/5 IT CTX Glut,95.2,7.17,95.2,39.0,strong in its own population
Nxph2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Nxph4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,114 COAa-PAA-MEA Barhl2 Glut,86.5,6.09,65.5,3.0,strong in its own population
Odc1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,013 COAp Grxcr2 Glut,88.3,5.7,74.2,48.0,strong in its own population
Omg,False,False,False,True,True,True,True,True,True,False,False,True,True,True,048 RHP-COA Ndnf Gaba,75.4,4.54,67.3,46.0,strong in its own population
Oprd1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,051 Pvalb chandelier Gaba,68.7,4.64,68.1,4.0,usable in its own population
Oprk1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,90.2,7.09,39.3,2.0,strong in its own population
Oprl1,True,True,True,True,True,True,True,False,True,True,True,True,True,True,088 BST Tac2 Gaba,79.0,4.67,77.8,34.0,strong in its own population
Oprm1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,084 BST-SI-AAA Six3 Slc22a3 Gaba,95.0,7.37,91.6,43.0,strong in its own population
Otof,True,True,True,True,True,True,True,True,True,True,True,True,True,True,064 STR-PAL Chst9 Gaba,88.0,6.64,71.5,14.0,strong in its own population
Otp,True,True,True,True,True,True,True,True,True,True,True,True,True,True,133 PVH-SO-PVa Otp Glut,98.5,7.96,97.9,4.0,strong in its own population
Oxtr,True,True,True,True,True,True,True,True,True,True,True,True,True,True,059 GPe-SI Sox6 Cyp26b1 Gaba,76.3,4.78,58.2,3.0,strong in its own population
P2ry12,False,False,False,False,False,False,False,False,False,True,False,False,False,False,334 Microglia NN,99.7,11.03,37.0,2.0,strong in its own population
Pak1,False,False,False,False,False,False,False,False,False,True,True,False,True,True,013 COAp Grxcr2 Glut,100.0,8.28,100.0,63.0,strong in its own population
Pcdh8,False,False,False,False,False,False,False,False,False,True,True,False,True,True,013 COAp Grxcr2 Glut,88.3,5.92,78.5,25.0,strong in its own population
Pcsk1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,133 PVH-SO-PVa Otp Glut,99.3,7.49,67.4,15.0,strong in its own population
Pde1b,False,False,False,False,False,False,False,False,False,False,False,True,False,False,061 STR D1 Gaba,98.0,8.13,77.9,47.0,strong in its own population
Pde1c,False,False,False,False,False,False,False,True,False,False,False,True,False,False,061 STR D1 Gaba,92.5,8.8,59.0,14.0,strong in its own population
Pdgfra,False,False,False,False,False,False,False,False,False,False,False,False,True,True,326 OPC NN,99.9,10.77,4.3,2.0,strong in its own population
Pdyn,True,True,True,True,True,True,True,True,True,True,True,True,True,True,133 PVH-SO-PVa Otp Glut,98.5,8.06,63.0,7.0,strong in its own population
Penk,True,True,True,True,True,True,True,True,True,True,True,True,True,True,062 STR D2 Gaba,96.0,9.39,75.7,10.0,strong in its own population
Per1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,65.0,3.67,63.2,6.0,usable in its own population
Per2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,013 COAp Grxcr2 Glut,68.3,3.98,60.9,6.0,usable in its own population
Per3,False,False,False,False,False,False,False,False,False,True,False,False,True,True,120 MEA Otp Foxp2 Glut,75.9,4.69,75.9,35.0,strong in its own population
Piezo2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,119 SI-MA-LPO-LHA Skor1 Glut,20.2,1.45,20.2,0.0,too low to map reliably
Plce1,False,False,False,False,False,False,False,True,False,False,False,True,True,True,331 Peri NN,96.3,9.85,53.1,12.0,strong in its own population
Plcl1,False,False,False,False,False,False,False,False,False,False,False,True,True,True,331 Peri NN,99.0,10.96,86.3,50.0,strong in its own population
Pld5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,100.0,8.2,90.4,25.0,strong in its own population
Plekha2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,010 IT AON-TT-DP Glut,61.1,3.92,50.9,6.0,usable in its own population
Plpp4,False,False,False,False,False,False,False,True,False,False,False,True,True,True,133 PVH-SO-PVa Otp Glut,91.2,6.44,49.6,6.0,strong in its own population
Plscr4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Pnoc,False,False,False,True,True,True,True,False,True,True,True,True,True,True,077 CEA-BST Gal Avp Gaba,95.4,7.31,81.5,6.0,strong in its own population
Pou3f1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,99.3,8.19,92.1,8.0,strong in its own population
Pparg,False,False,False,False,False,False,False,False,False,False,False,False,False,True,013 COAp Grxcr2 Glut,75.0,5.2,56.7,4.0,strong in its own population
Ppp1r1b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,061 STR D1 Gaba,99.8,9.25,73.3,9.0,strong in its own population
Prox1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,037 DG Glut,99.2,8.54,89.3,9.0,strong in its own population
Ptger3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Ptpru,False,False,True,True,True,True,True,False,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,91.5,6.59,77.7,15.0,strong in its own population
Pvalb,True,True,True,True,True,True,True,True,True,True,True,True,True,True,052 Pvalb Gaba,70.8,6.11,71.3,2.0,strong in its own population
Pvt1,False,False,False,False,False,False,False,True,False,False,False,True,True,True,133 PVH-SO-PVa Otp Glut,95.6,7.52,93.1,48.0,strong in its own population
Rai14,False,False,True,True,True,True,True,False,True,True,True,True,True,True,029 L6b CTX Glut,86.5,6.41,86.5,8.0,strong in its own population
Ramp3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Rapgef2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,010 IT AON-TT-DP Glut,99.4,8.15,98.7,73.0,strong in its own population
Rasa4,False,False,False,False,True,True,True,False,False,False,False,True,False,False,335 BAM NN,50.5,3.68,20.3,1.0,usable in its own population
Rbfox3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,9.09,99.5,61.0,strong in its own population
Rbm3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,058 PAL-STR Gaba-Chol,88.1,5.16,74.6,53.0,strong in its own population
Rbms3,False,False,False,True,True,True,True,False,True,False,False,True,True,True,013 COAp Grxcr2 Glut,100.0,8.54,99.5,55.0,strong in its own population
Rbp4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,053 Sst Gaba,87.8,7.15,89.7,2.0,strong in its own population
Rgs2,False,False,False,False,False,False,False,False,True,True,True,False,True,True,133 PVH-SO-PVa Otp Glut,95.6,6.81,92.0,47.0,strong in its own population
Rgs4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,055 STR Lhx8 Gaba,100.0,8.64,99.3,55.0,strong in its own population
Rgs5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,331 Peri NN,99.7,12.09,21.0,3.0,strong in its own population
Rgs9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,063 STR D1 Sema5a Gaba,93.5,7.71,80.5,27.0,strong in its own population
Rmst,False,False,False,False,False,False,False,False,False,False,False,True,False,False,026 NLOT Rho Glut,100.0,8.99,99.9,33.0,strong in its own population
Rorb,True,True,True,True,True,True,True,True,True,True,True,True,True,True,319 Astro-TE NN,99.5,10.37,96.4,10.0,strong in its own population
Rprm,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,99.7,7.78,91.3,13.0,strong in its own population
Rprml,False,False,False,False,False,False,False,False,False,False,False,True,False,False,026 NLOT Rho Glut,98.6,7.13,95.4,35.0,strong in its own population
Rspo2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,003 L5/6 IT TPE-ENT Glut,89.2,6.46,88.1,7.0,strong in its own population
Rspo3,False,False,False,False,False,False,False,True,False,False,False,True,True,True,010 IT AON-TT-DP Glut,82.8,5.9,69.4,9.0,strong in its own population
Rxfp1,True,True,False,False,True,True,True,True,False,False,False,True,True,True,001 CLA-EPd-CTX Car3 Glut,92.0,8.13,34.1,2.0,strong in its own population
S1pr3,False,False,False,False,True,True,True,False,False,False,False,True,False,False,331 Peri NN,84.6,7.69,24.3,3.0,strong in its own population
Satb2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,005 L5 IT CTX Glut,98.8,8.16,98.8,12.0,strong in its own population
Scg2,False,False,False,False,False,False,False,False,True,True,True,False,True,True,077 CEA-BST Gal Avp Gaba,99.5,8.64,97.5,59.0,strong in its own population
Scn5a,True,True,True,True,True,True,True,True,True,True,True,True,True,True,083 CEA-BST Rai14 Pdyn Crh Gaba,94.9,7.11,90.2,21.0,strong in its own population
Sema3e,True,True,True,True,True,True,True,True,True,True,True,True,True,True,002 IT EP-CLA Glut,93.3,7.28,88.8,12.0,strong in its own population
Sema5a,False,False,True,True,True,True,True,True,True,True,True,True,True,True,113 MEA-COA-BMA Ccdc42 Glut,95.7,7.71,95.7,37.0,strong in its own population
Sema5b,False,False,True,True,True,True,True,True,True,True,True,True,True,True,063 STR D1 Sema5a Gaba,94.3,7.88,75.8,14.0,strong in its own population
Sfrp1,False,False,False,False,True,True,True,False,False,False,False,True,False,False,056 Sst Chodl Gaba,71.7,5.17,21.1,2.0,strong in its own population
Sgk1,False,False,False,False,False,False,False,False,True,True,True,False,True,True,026 NLOT Rho Glut,93.4,6.29,84.5,53.0,strong in its own population
Shank3,False,False,False,False,False,False,False,False,True,True,True,False,True,True,013 COAp Grxcr2 Glut,86.7,5.2,81.1,48.0,strong in its own population
Siglech,False,False,False,False,False,False,False,False,False,False,False,False,True,True,334 Microglia NN,98.2,9.76,0.5,2.0,strong in its own population
Sik1,False,False,False,False,False,False,False,False,True,True,True,False,True,True,332 SMC NN,59.1,4.71,26.7,4.0,usable in its own population
Sim1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,100.0,9.13,88.0,4.0,strong in its own population
Skor1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,119 SI-MA-LPO-LHA Skor1 Glut,53.6,3.15,53.6,1.0,usable in its own population
Slc17a6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,119 SI-MA-LPO-LHA Skor1 Glut,99.5,8.38,99.5,12.0,strong in its own population
Slc17a7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,9.65,100.0,17.0,strong in its own population
Slc1a2,False,False,False,False,False,False,False,False,True,True,True,False,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,9.13,100.0,61.0,strong in its own population
Slc29a4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,058 PAL-STR Gaba-Chol,65.0,3.19,64.9,4.0,usable in its own population
Slc30a3,False,False,False,False,False,False,False,False,False,True,True,False,True,True,013 COAp Grxcr2 Glut,100.0,7.16,84.7,12.0,strong in its own population
Slc32a1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,055 STR Lhx8 Gaba,100.0,8.0,98.7,37.0,strong in its own population
Slc5a7,False,False,False,False,False,False,False,True,False,True,True,True,True,True,058 PAL-STR Gaba-Chol,88.8,9.66,41.4,1.0,strong in its own population
Slc6a1,False,False,False,False,False,False,False,False,True,True,True,False,True,True,048 RHP-COA Ndnf Gaba,100.0,10.17,100.0,52.0,strong in its own population
Slc6a3,True,True,False,False,True,True,True,False,True,True,True,True,True,True,044 OB Dopa-Gaba,22.8,1.77,4.6,0.0,too low to map reliably
Smad5,False,False,False,True,True,True,True,True,True,True,True,True,True,True,133 PVH-SO-PVa Otp Glut,79.4,4.78,54.5,9.0,strong in its own population
Smoc2,False,False,False,False,False,False,False,True,True,True,True,False,True,True,001 CLA-EPd-CTX Car3 Glut,87.5,6.23,82.6,3.0,strong in its own population
Snap25,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,11.07,100.0,66.0,strong in its own population
Sntb1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,331 Peri NN,88.8,8.55,46.5,4.0,strong in its own population
Sox10,False,False,False,False,False,False,False,False,False,False,False,False,False,True,326 OPC NN,97.7,8.84,2.4,2.0,strong in its own population
Sox12,False,False,False,False,True,True,True,False,False,False,False,True,False,False,133 PVH-SO-PVa Otp Glut,64.7,3.64,49.1,1.0,usable in its own population
Sox5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,99.5,8.71,96.3,29.0,strong in its own population
Sox6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,055 STR Lhx8 Gaba,100.0,9.13,94.5,15.0,strong in its own population
Sox8,False,False,False,True,True,True,True,True,True,True,True,True,True,True,326 OPC NN,86.0,6.86,50.1,6.0,strong in its own population
Sp8,True,True,False,False,True,True,True,True,False,False,False,True,False,False,047 Sncg Gaba,70.2,4.89,31.6,2.0,strong in its own population
Sp9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,054 STR Prox1 Lhx6 Gaba,89.6,6.28,79.0,14.0,strong in its own population
Spon1,False,False,False,False,False,False,False,True,False,False,False,True,True,True,326 OPC NN,96.8,8.74,95.7,26.0,strong in its own population
Sst,True,True,True,True,True,True,True,True,True,True,True,True,True,True,053 Sst Gaba,98.7,10.9,99.0,4.0,strong in its own population
Sstr2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,96.5,7.79,62.4,6.0,strong in its own population
Sstr4,False,False,False,False,True,True,True,False,False,False,False,True,False,False,013 COAp Grxcr2 Glut,3.3,0.15,1.4,0.0,too low to map reliably
St3gal6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
St8sia2,False,False,False,False,False,False,False,False,False,True,True,False,True,True,133 PVH-SO-PVa Otp Glut,72.8,4.36,37.8,1.0,strong in its own population
Stac,False,False,False,False,False,False,False,False,False,False,False,True,False,False,026 NLOT Rho Glut,72.7,4.42,49.7,9.0,strong in its own population
Stard8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Stc1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,
Stk40,False,False,False,True,True,True,True,True,True,True,True,True,True,True,026 NLOT Rho Glut,79.7,4.65,59.5,18.0,strong in its own population
Sulf1,False,False,False,False,False,False,False,False,False,True,True,False,True,True,002 IT EP-CLA Glut,94.1,7.55,78.6,9.0,strong in its own population
Syn1,False,False,False,False,False,False,False,False,True,True,True,False,True,True,013 COAp Grxcr2 Glut,100.0,8.2,99.7,66.0,strong in its own population
Syndig1,False,False,False,False,False,False,False,True,False,False,False,True,False,False,026 NLOT Rho Glut,97.5,6.9,89.4,33.0,strong in its own population
Syndig1l,True,True,False,False,True,True,True,True,False,False,False,True,False,False,061 STR D1 Gaba,92.3,7.0,46.5,4.0,strong in its own population
Syngap1,False,False,False,False,False,False,False,False,True,True,True,False,True,True,013 COAp Grxcr2 Glut,81.7,4.89,70.3,32.0,strong in its own population
Synpr,True,True,True,True,True,True,True,True,True,True,True,True,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,10.54,99.8,28.0,strong in its own population
Syp,False,False,False,False,False,False,False,False,True,True,True,False,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,9.31,100.0,64.0,strong in its own population
Syt1,False,False,True,False,False,False,False,False,True,True,True,False,True,True,001 CLA-EPd-CTX Car3 Glut,100.0,12.18,100.0,66.0,strong in its own population
Syt6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,030 L6 CT CTX Glut,91.7,6.9,91.7,9.0,strong in its own population
Tac1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,061 STR D1 Gaba,86.5,7.51,70.1,7.0,strong in its own population
Tac2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,088 BST Tac2 Gaba,80.4,7.25,47.7,2.0,strong in its own population
Tacr1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,058 PAL-STR Gaba-Chol,90.0,6.96,61.6,9.0,strong in its own population
Tacr3,True,True,False,False,True,True,True,False,False,False,False,True,False,False,133 PVH-SO-PVa Otp Glut,61.0,3.71,30.1,3.0,usable in its own population
Tafa1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,022 L5 ET CTX Glut,97.8,10.07,97.8,24.0,strong in its own population
Tbr1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,030 L6 CT CTX Glut,96.6,7.57,96.6,18.0,strong in its own population
Tcf7l2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,318 Astro-NT NN,88.9,7.57,44.8,7.0,strong in its own population
Th,True,True,False,False,True,True,True,False,False,False,False,True,False,False,044 OB Dopa-Gaba,57.0,4.87,11.3,1.0,usable in its own population
Thsd7b,False,False,True,True,True,True,True,False,True,True,True,True,True,True,088 BST Tac2 Gaba,98.6,9.42,91.8,36.0,strong in its own population
