order_rank,gene,block,serves,why,max_pct,max_mean,max_spec_panel,tenx_ensembl_ids,tenx_designable_matches,tenx_on_no_probe_list,ncbi_gene_id,ncbi_description,ncbi_gene_type,ncbi_nomenclature_status,ncbi_modified,gtf_ensembl_ids,gtf_gene_types,gtf_transcript_count,gtf_transcript_types,allen_max_pct_full,allen_max_pct_anchor,allen_median_pct_across_anchors,allen_n_anchors_ge50,allen_max_pct_ORBm,allen_max_pct_BMAp,target_type,symbol_qc,tenx_design_qc,isoform_qc,detectability_tier,overall_pre_vendor_status
40,tdTomato,2_reporter_transgene,reporter,"Permanent TRAP tag that Xenium reads. Custom sequence probe against the tdTomato coding sequence, which is shared across tdTomato reporter lines (Ai9 / Ai14 / any Rosa26-CAG-LSL-tdTomato), so the probe is line-agnostic. CONFIRM the reporter strain number: if the line carries a different fluorophore, this probe reads nothing. Ask 10x to reduce the probe-set count because tdTomato is a very high expressor.",,,,,,,,,,,,,,,,,,,,,,ADVANCED_EXOGENOUS,NOT_APPLICABLE_EXOGENOUS,ADVANCED_FASTA_REQUIRED,EXACT_CONSTRUCT_SEQUENCE_REQUIRED,NOT_IN_ALLEN,BLOCKED_EXACT_FASTA_REQUIRED
41,Slc17a6,3_class_backbone,glutamatergic | 032 L5 NP CTX Glut :: L5 IT / L5 ET/PT output neurons | glutamatergic,VGLUT2. Subcortical/MEA excitatory backbone; separates BMAp VGLUT2 populations from VGLUT1.,99.45,8.38,3.52,ENSMUSG00000030500,1.0,False,140919,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6",protein-coding,O,20260910,ENSMUSG00000030500,protein_coding,4.0,lncRNA; nonsense_mediated_decay; protein_coding,99.44954128440368,119 SI-MA-LPO-LHA Skor1 Glut,16.59438739700272,5.0,70.68706118355065,99.44954128440368,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
42,Gad2,3_class_backbone,gabaergic,GAD65. Inhibitory backbone; the pair is more robust than either alone.,100.0,11.44,1.45,ENSMUSG00000026787,1.0,False,14417,glutamic acid decarboxylase 2,protein-coding,O,20260910,ENSMUSG00000026787,protein_coding,2.0,lncRNA; protein_coding,100.0,049 Lamp5 Gaba,30.94995613155416,7.0,100.0,99.95356755920136,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
43,Gad1,3_class_backbone,gabaergic,GAD67. Inhibitory backbone.,99.96,10.87,1.23,ENSMUSG00000070880,1.0,False,14415,glutamate decarboxylase 1,protein-coding,O,20260910,ENSMUSG00000070880,protein_coding,8.0,lncRNA; nonsense_mediated_decay; protein_coding; retained_intron,99.95724668661822,049 Lamp5 Gaba,22.03421254740076,7.0,99.95724668661822,98.82285386161355,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
44,Slc32a1,3_class_backbone,gabaergic,VGAT. Definitive GABAergic call independent of GAD level.,98.67,7.87,0.2,ENSMUSG00000037771,1.0,False,22348,"solute carrier family 32 (GABA vesicular transporter), member 1",protein-coding,O,20260910,ENSMUSG00000037771,protein_coding,1.0,protein_coding,98.6689366971057,074 MEA-BST Lhx6 Sp9 Gaba,7.449418772507482,7.0,95.36423841059603,98.6689366971057,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,SINGLE_TRANSCRIPT_GENE_LEVEL,HIGH_ge50pct,PASS_PRE_VENDOR_QC
45,Npy2r,4_GPCR_cell_type_specific,046 Vip Gaba | 012 MEA Slc17a7 Glut,"GPCR, cell_type_specific in this region's anchor panel; top in 046 Vip Gaba; has a catalogued drug/ligand",75.7,5.07,-0.62,ENSMUSG00000028004,1.0,False,18167,neuropeptide Y receptor Y2,protein-coding,O,20260910,ENSMUSG00000028004,protein_coding,4.0,protein_coding,75.70281124497991,012 MEA Slc17a7 Glut,14.68692217313925,1.0,39.57888312480928,75.70281124497991,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
46,Oxtr,4_GPCR_cell_type_specific,012 MEA Slc17a7 Glut | 053 Sst Gaba,"GPCR, cell_type_specific in this region's anchor panel; top in 012 MEA Slc17a7 Glut; has a catalogued drug/ligand",58.18,3.34,-1.44,ENSMUSG00000049112,1.0,False,18430,oxytocin receptor,protein-coding,O,20260910,ENSMUSG00000049112,protein_coding,2.0,protein_coding,58.18273092369478,012 MEA Slc17a7 Glut,7.323118038336712,1.0,28.28714896782592,58.18273092369478,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
47,Drd2,4_GPCR_cell_type_specific,119 SI-MA-LPO-LHA Skor1 Glut | 053 Sst Gaba,"GPCR, cell_type_specific in this region's anchor panel; top in 119 SI-MA-LPO-LHA Skor1 Glut; has a catalogued drug/ligand",28.85,1.86,1.07,ENSMUSG00000032259,1.0,False,13489,dopamine receptor D2,protein-coding,O,20260910,ENSMUSG00000032259,protein_coding,1.0,protein_coding,28.85321100917431,119 SI-MA-LPO-LHA Skor1 Glut,4.414127584135618,0.0,10.71229310024177,28.85321100917431,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,SINGLE_TRANSCRIPT_GENE_LEVEL,MODERATE_20-50pct,PASS_PRE_VENDOR_QC
48,Mc4r,4_GPCR_cell_type_specific,120 MEA Otp Foxp2 Glut | 022 L5 ET CTX Glut | OFC_behaviour_GPCR,"GPCR, cell_type_specific in this region's anchor panel; top in 120 MEA Otp Foxp2 Glut; has a catalogued drug/ligand",38.5,2.17,1.06,ENSMUSG00000047259,1.0,False,17202,melanocortin 4 receptor,protein-coding,O,20260910,ENSMUSG00000047259,protein_coding,1.0,protein_coding,38.49734042553192,120 MEA Otp Foxp2 Glut,3.848946586579276,0.0,20.40652580903985,38.49734042553192,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,SINGLE_TRANSCRIPT_GENE_LEVEL,MODERATE_20-50pct,PASS_PRE_VENDOR_QC
49,Gpr88,4_GPCR_cell_type_specific,007 L2/3 IT CTX Glut | 082 CEA-BST Ebf1 Pdyn Gaba,"GPCR, cell_type_specific in this region's anchor panel; top in 007 L2/3 IT CTX Glut; has a catalogued drug/ligand",75.33,4.89,0.83,ENSMUSG00000068696,1.0,False,64378,G-protein coupled receptor 88,protein-coding,O,20260910,ENSMUSG00000068696,protein_coding,3.0,lncRNA; protein_coding,75.33244680851064,120 MEA Otp Foxp2 Glut,16.27683427863563,6.0,65.20464539406923,75.33244680851064,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
50,Galr1,4_GPCR_cell_type_specific,113 MEA-COA-BMA Ccdc42 Glut,"GPCR, cell_type_specific in this region's anchor panel; top in 113 MEA-COA-BMA Ccdc42 Glut; has a catalogued drug/ligand",35.61,2.08,-3.39,ENSMUSG00000024553,1.0,False,14427,galanin receptor 1,protein-coding,O,20260910,ENSMUSG00000024553,protein_coding,1.0,protein_coding,35.61218147917962,113 MEA-COA-BMA Ccdc42 Glut,0.6156699537911791,0.0,1.708880073237717,35.61218147917962,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,SINGLE_TRANSCRIPT_GENE_LEVEL,MODERATE_20-50pct,PASS_PRE_VENDOR_QC
51,Hcrtr1,4_GPCR_cell_type_specific,030 L6 CT CTX Glut | 113 MEA-COA-BMA Ccdc42 Glut,"GPCR, cell_type_specific in this region's anchor panel; top in 030 L6 CT CTX Glut; has a catalogued drug/ligand",15.86,0.84,-0.53,ENSMUSG00000028778,1.0,False,230777,hypocretin (orexin) receptor 1,protein-coding,O,20260910,ENSMUSG00000028778,protein_coding,4.0,protein_coding,15.85871141495753,113 MEA-COA-BMA Ccdc42 Glut,2.814190941142354,0.0,14.24975527898196,15.85871141495753,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,LOW_5-20pct,PASS_PRE_VENDOR_QC
52,Ntsr1,4_GPCR_cell_type_specific,012 MEA Slc17a7 Glut | 029 L6b CTX Glut,"GPCR, cell_type_specific in this region's anchor panel; top in 012 MEA Slc17a7 Glut; has a catalogued drug/ligand",34.99,1.87,0.32,ENSMUSG00000027568,1.0,False,18216,neurotensin receptor 1,protein-coding,O,20260818,ENSMUSG00000027568,protein_coding,2.0,protein_coding,34.98995983935743,012 MEA Slc17a7 Glut,10.73699646142053,0.0,29.88650693568726,34.98995983935743,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,MODERATE_20-50pct,PASS_PRE_VENDOR_QC
53,Hcrtr2,4_GPCR_cell_type_specific,119 SI-MA-LPO-LHA Skor1 Glut | 049 Lamp5 Gaba,"GPCR, cell_type_specific in this region's anchor panel; top in 119 SI-MA-LPO-LHA Skor1 Glut; has a catalogued drug/ligand",67.29,5.08,-1.94,ENSMUSG00000032360,1.0,False,387285,hypocretin (orexin) receptor 2,protein-coding,O,20260910,ENSMUSG00000032360,protein_coding,3.0,protein_coding; retained_intron,67.29371526293288,049 Lamp5 Gaba,11.87913033947208,2.0,67.29371526293288,50.2788844621514,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
54,Tacr1,4_GPCR_cell_type_specific,004 L6 IT CTX Glut | 012 MEA Slc17a7 Glut | VGLUT2_BMA_subtype,"GPCR, cell_type_specific in this region's anchor panel; top in 004 L6 IT CTX Glut; has a catalogued drug/ligand",61.62,3.94,1.37,ENSMUSG00000030043,1.0,False,21336,tachykinin receptor 1,protein-coding,O,20260818,ENSMUSG00000030043,protein_coding,3.0,protein_coding; retained_intron,61.6214859437751,012 MEA Slc17a7 Glut,5.716189445668583,1.0,10.78673487387546,61.6214859437751,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
55,Homer1,5_IEG,plasticity,Homer1a is the activity-induced short form; scaffold for mGluR signalling.,99.56,9.1,0.31,ENSMUSG00000007617,1.0,False,26556,homer scaffolding protein 1,protein-coding,O,20260910,ENSMUSG00000007617,protein_coding,12.0,lncRNA; protein_coding,99.56189937817976,006 L4/5 IT CTX Glut,87.68155079907271,20.0,99.56189937817976,93.19779116465864,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
56,Egr1,5_IEG,activity,Zif268. Second independent activity axis; different induction kinetics from Fos.,98.04,8.9,0.74,ENSMUSG00000038418,1.0,False,13653,early growth response 1,protein-coding,O,20260910,ENSMUSG00000038418,protein_coding,2.0,protein_coding,98.03561334087055,006 L4/5 IT CTX Glut,69.81867129809045,17.0,98.03561334087055,72.86646586345381,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
57,Arc,5_IEG,activity,Arg3.1. Synaptic-activity IEG; nuclear vs cytoplasmic signal can time two epochs.,83.63,6.09,0.2,ENSMUSG00000022602,1.0,False,11838,activity regulated cytoskeletal-associated protein,protein-coding,O,20260910,ENSMUSG00000022602,protein_coding,2.0,protein_coding,83.63482193329564,006 L4/5 IT CTX Glut,13.44767363857542,5.0,83.63482193329564,16.68006892590465,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
58,Fos,5_IEG,activity,TRAP2 driver locus. Reports endogenous transcript and confirms tagged cells were Fos+ at 4-OHT.,62.35,4.07,0.49,ENSMUSG00000021250,1.0,False,14281,"Fos proto-oncogene, AP-1 transcription factor subunit",protein-coding,O,20260910,ENSMUSG00000021250,protein_coding,4.0,lncRNA; protein_coding,62.35161107970605,006 L4/5 IT CTX Glut,29.30401813519271,2.0,62.35161107970605,29.19012062033314,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
59,Fosb,5_IEG,activity,FosB/deltaFosB. The canonical chronic-drug accumulating IEG; central to addiction plasticity.,34.47,2.08,0.2,ENSMUSG00000003545,1.0,False,14282,"Fos B proto-oncogene, AP-1 transcription factor subunit",protein-coding,O,20260915,ENSMUSG00000003545,protein_coding,7.0,protein_coding; retained_intron,34.47445841133993,022 L5 ET CTX Glut,12.36413137476694,0.0,34.47445841133993,17.04767375071798,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,MODERATE_20-50pct,PASS_PRE_VENDOR_QC
60,Npas4,5_IEG,activity,The only strictly neuron-specific activity IEG. Cleanest control that Fos is activity-driven not stress/growth-factor driven.,34.19,2.06,0.27,ENSMUSG00000045903,1.0,False,225872,neuronal PAS domain protein 4,protein-coding,O,20260910,ENSMUSG00000045903,protein_coding,3.0,nonsense_mediated_decay; protein_coding; retained_intron,34.18598078010176,006 L4/5 IT CTX Glut,11.16476940862749,0.0,34.18598078010176,17.7599080987938,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,MODERATE_20-50pct,PASS_PRE_VENDOR_QC
61,Oprm1,6_GPCR_druggable,receptor | 120 MEA Otp Foxp2 Glut | receptor | 029 L6b CTX Glut,Mu opioid receptor. The direct pharmacological target of morphine; must be on the panel.,91.56,6.73,0.73,ENSMUSG00000000766,1.0,False,18390,"opioid receptor, mu 1",protein-coding,O,20260910,ENSMUSG00000000766,protein_coding,31.0,lncRNA; nonsense_mediated_decay; protein_coding,91.55585106382979,120 MEA Otp Foxp2 Glut,56.29802295733695,14.0,80.26481715006305,91.55585106382979,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
62,Gria1,7_plasticity,AMPA_receptor,GluA1. Trafficking of GluA1 is the canonical substrate of drug-induced plasticity.,99.97,10.59,0.27,ENSMUSG00000020524,1.0,False,14799,"glutamate receptor, ionotropic, AMPA1 (alpha 1)",protein-coding,O,20260910,ENSMUSG00000020524,protein_coding,5.0,lncRNA; protein_coding,99.97489959839358,012 MEA Slc17a7 Glut,99.68894552843275,20.0,99.94650976196844,99.97489959839358,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
63,Gria2,7_plasticity,AMPA_receptor,GluA2. Ca-permeable AMPAR switch during incubation of craving.,100.0,10.42,0.24,ENSMUSG00000033981,1.0,False,14800,"glutamate receptor, ionotropic, AMPA2 (alpha 2)",protein-coding,O,20260910,ENSMUSG00000033981,protein_coding,8.0,nonsense_mediated_decay; protein_coding; retained_intron,100.0,022 L5 ET CTX Glut,99.980946482768,20.0,100.0,100.0,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
64,Camk2a,7_plasticity,postsynaptic,Excitatory postsynaptic kinase; also a broad excitatory-neuron marker in cortex.,100.0,10.06,0.81,ENSMUSG00000024617,1.0,False,12322,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,O,20260910,ENSMUSG00000024617,protein_coding,7.0,protein_coding; retained_intron,100.0,022 L5 ET CTX Glut,99.06308277528186,20.0,100.0,99.94979919678715,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
65,Grin1,7_plasticity,NMDA_receptor,Obligatory NMDAR subunit. Plasticity capacity.,99.25,8.44,0.14,ENSMUSG00000026959,1.0,False,14810,"glutamate receptor, ionotropic, NMDA1 (zeta 1)",protein-coding,O,20260910,ENSMUSG00000026959,protein_coding,14.0,lncRNA; protein_coding,99.25113666755817,022 L5 ET CTX Glut,98.6109606486497,20.0,99.25113666755817,99.12844036697248,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
66,Ppp1r1b,7_plasticity,signal_integration,DARPP-32. Dopamine/GPCR signal integration; also the striatal-like sAMY marker for BMAp neighbours.,73.33,4.95,0.84,ENSMUSG00000061718,1.0,False,19049,"protein phosphatase 1, regulatory inhibitor subunit 1B",protein-coding,O,20260818,ENSMUSG00000061718,protein_coding,7.0,lncRNA; protein_coding; retained_intron,73.32773971006385,030 L6 CT CTX Glut,17.9574925880518,2.0,73.32773971006385,37.9654255319149,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
67,Isl1,8_TF_identity,striatal | 082 CEA-BST Ebf1 Pdyn Gaba :: Amygdala GABA / striatal-like inhibitory neighbors,LGE/striatal lineage; separates striatal-like from pallial in BMAp.,54.77,3.67,3.6,ENSMUSG00000042258,1.0,False,16392,"ISL1 transcription factor, LIM/homeodomain",protein-coding,O,20260910,ENSMUSG00000042258,protein_coding,5.0,lncRNA; protein_coding; retained_intron,54.76600631639391,082 CEA-BST Ebf1 Pdyn Gaba,0.02736212465701367,1.0,0.06305170239596469,54.76600631639391,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
68,Dlx1,8_TF_identity,GABAergic_lineage | 073 MEA-BST Sox6 Gaba :: Amygdala GABA / striatal-like inhibitory neighbors | GABAergic_lineage,Pan-GABAergic lineage TF; separates 073 MEA-BST Sox6 Gaba.,80.74,6.39,2.24,ENSMUSG00000041911,1.0,False,13390,distal-less homeobox 1,protein-coding,O,20260706,ENSMUSG00000041911,protein_coding,6.0,nonsense_mediated_decay; protein_coding; retained_intron,80.74458346048215,046 Vip Gaba,2.68009577152613,4.0,80.74458346048215,76.18609994256175,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
69,Bcl11b,8_TF_identity,cortical_ET,Ctip2. ET/PT identity; also striatal.,99.68,8.87,0.49,ENSMUSG00000048251,1.0,False,58208,B cell leukemia/lymphoma 11B,protein-coding,O,20260908,ENSMUSG00000048251,protein_coding,3.0,protein_coding,99.67905857181064,022 L5 ET CTX Glut,69.72192279388554,12.0,99.67905857181064,97.84668389319552,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
70,Satb2,8_TF_identity,cortical_IT,Callosal/IT identity TF. Separates IT from ET/CT in ORBm.,98.85,8.41,0.07,ENSMUSG00000038331,1.0,False,212712,special AT-rich sequence binding protein 2,protein-coding,O,20260910,ENSMUSG00000038331,protein_coding,5.0,protein_coding,98.8458927359131,005 L5 IT CTX Glut,8.65990745024789,8.0,98.8458927359131,5.873493975903615,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
71,Fezf2,8_TF_identity,cortical_ET,Subcerebral/ET identity TF. Core ORBm L5 ET call.,94.12,7.13,0.63,ENSMUSG00000021743,1.0,False,54713,Fez family zinc finger 2,protein-coding,O,20260910,ENSMUSG00000021743,protein_coding,3.0,protein_coding,94.11607381652848,022 L5 ET CTX Glut,2.773045754433047,4.0,94.11607381652848,36.69678714859438,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
72,Zic2,8_TF_identity,amygdala,Named separator of 121 MEA-BST Otp Zic2 Glut.,60.56,3.53,0.36,ENSMUSG00000061524,1.0,False,22772,zinc finger protein of the cerebellum 2,protein-coding,O,20260910,ENSMUSG00000061524,protein_coding,2.0,protein_coding; retained_intron,60.55776892430279,121 MEA-BST Otp Zic2 Glut,0.04585722026955043,2.0,0.07772752967778405,60.55776892430279,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
73,Cartpt,9_published_regional,VGLUT1_subtype | 052 Pvalb Gaba :: Cortical interneurons,"CART peptide. GLUT1-14 was validated by multiplex FISH in posterior BMA, so it is the best FISH-proven BMAp type marker. Hochgerner 2023 Nat Neurosci amygdala atlas",54.2,3.94,1.98,ENSMUSG00000021647,1.0,False,27220,CART prepropeptide,protein-coding,O,20260910,ENSMUSG00000021647,protein_coding,2.0,protein_coding,54.2000697107006,052 Pvalb Gaba,6.30663198394004,1.0,54.2000697107006,35.73750193468504,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
74,Htr2c,9_published_regional,VGLUT1_subtype_GPCR | 120 MEA Otp Foxp2 Glut | 032 L5 NP CTX Glut,Serotonin 2C receptor. Both a posterior-BMA VGLUT1 type marker and a druggable GPCR. Hochgerner 2023 Nat Neurosci amygdala atlas,98.34,9.19,3.48,ENSMUSG00000041380,1.0,False,15560,5-hydroxytryptamine (serotonin) receptor 2C,protein-coding,O,20260910,ENSMUSG00000041380,protein_coding,7.0,lncRNA; protein_coding; retained_intron,98.3377659574468,120 MEA Otp Foxp2 Glut,45.06367654341986,10.0,90.19558676028085,98.3377659574468,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
75,Pld5,9_published_regional,OFC_enriched,Enriched in OFC relative to dmPFC/vmPFC. One of only two genes reported to distinguish OFC from medial PFC. Lui 2021 Cell PFC projection classes,90.42,7.43,2.14,ENSMUSG00000055214,1.0,False,319455,phospholipase D family member 5,protein-coding,O,20260910,ENSMUSG00000055214,protein_coding,6.0,nonsense_mediated_decay; protein_coding; retained_intron,90.4232578024797,049 Lamp5 Gaba,35.45183686329616,5.0,90.4232578024797,88.04780876494024,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,HIGH_ge50pct,PASS_PRE_VENDOR_QC
76,Fezf1,9_published_regional,MEA_vs_BMA_discriminator,THE single gene that separates molecularly similar VGLUT2 types of MEA (Fezf1+) from BMA (Fezf1-). Directly resolves our BMAp-vs-MEA boundary problem. Hochgerner 2023 Nat Neurosci amygdala atlas,71.68,4.49,1.31,ENSMUSG00000029697,1.0,False,73191,Fez family zinc finger 1,protein-coding,O,20260910,ENSMUSG00000029697,protein_coding,1.0,protein_coding,71.67553191489363,120 MEA Otp Foxp2 Glut,0.1231138844197069,2.0,0.1337255950788981,71.67553191489363,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,SINGLE_TRANSCRIPT_GENE_LEVEL,HIGH_ge50pct,PASS_PRE_VENDOR_QC
77,Ackr3,9_published_regional,OFC_enriched,"Formerly Cxcr7. The second OFC-vs-mPFC enriched gene, and an atypical chemokine GPCR. Lui 2021 Cell PFC projection classes",21.28,1.21,0.08,ENSMUSG00000044337,1.0,False,12778,atypical chemokine receptor 3,protein-coding,O,20260910,ENSMUSG00000044337,protein_coding,2.0,protein_coding,21.28241312400776,004 L6 IT CTX Glut,5.846923541869785,0.0,21.28241312400776,17.64035632898281,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,MULTI_TRANSCRIPT_GENE_LEVEL_OK,MODERATE_20-50pct,PASS_PRE_VENDOR_QC
78,Crh,9_published_regional,VGLUT2_BMA_subtype,CRF. Marks a BMA subtype with Tacr1; also the central stress peptide for withdrawal. Hochgerner 2023 Nat Neurosci amygdala atlas,12.4,0.8,0.58,ENSMUSG00000049796,1.0,False,12918,corticotropin releasing hormone,protein-coding,O,20260910,ENSMUSG00000049796,protein_coding,1.0,protein_coding,56.54562099481233,046 Vip Gaba,2.090588068481638,1.0,56.54562099481233,12.4031007751938,STANDARD_MOUSE_GENE,PASS_CURRENT_NCBI_SYMBOL,PASS_V1_STANDARD_DESIGNABLE,SINGLE_TRANSCRIPT_GENE_LEVEL,HIGH_ge50pct,PASS_PRE_VENDOR_QC
